CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus
50028,0,,Phone,3,12,E wallet,Male,2,3,Laptop & Accessory,3,Divorced
50029,0,18,Phone,1,,Debit Card,Male,2,3,Laptop & Accessory,4,Married
50030,0,5,Computer,3,14,E wallet,Female,2,3,Fashion,2,Single
50031,0,2,Computer,1,6,COD,Male,2,3,Laptop & Accessory,3,Divorced
50032,0,0,Mobile Phone,1,13,Credit Card,Male,2,4,Laptop & Accessory,3,Divorced
50033,0,30,Phone,1,15,CC,Female,3,4,Mobile,4,Divorced
50034,0,13,Mobile Phone,3,10,E wallet,Male,3,4,Fashion,2,Divorced
50035,0,,Computer,3,8,E wallet,Female,3,3,Mobile,3,Divorced
50036,0,0,Phone,1,,CC,Male,3,3,Mobile,2,Divorced
50037,0,,Computer,1,15,CC,Male,2,3,Mobile,4,Married
50038,0,1,Phone,1,27,CC,Male,,3,Mobile,2,Divorced
50039,0,30,Mobile Phone,1,30,Debit Card,Male,2,2,Fashion,2,Married
50040,0,0,Computer,1,,CC,Male,3,4,Mobile,3,Married
50041,0,23,Mobile Phone,1,17,Debit Card,Female,2,3,Others,4,Single
50042,0,14,Phone,1,,Debit Card,Male,2,3,Mobile,3,Married
50043,0,3,Mobile Phone,3,11,Debit Card,Female,2,3,Fashion,2,Divorced
50044,0,11,Mobile Phone,3,6,Debit Card,Female,2,4,Laptop & Accessory,2,Single
50045,0,5,Phone,1,12,Debit Card,Male,,3,Mobile,3,Single
50046,0,0,Phone,1,23,COD,Male,,3,Mobile,4,Divorced
50047,1,0,Computer,3,,COD,Female,3,5,Mobile,5,Single
50048,0,,Computer,1,9,CC,Male,1,3,Mobile,4,Single
50049,0,3,Computer,1,15,CC,Male,,3,Laptop & Accessory,5,Married
50050,0,18,Mobile Phone,3,10,Debit Card,Female,1,3,Laptop & Accessory,5,Married
50051,0,29,Phone,1,14,Debit Card,Female,3,3,Mobile Phone,5,Married
50052,0,6,Phone,1,,Debit Card,Male,2,3,Mobile,2,Single
50053,1,0,Mobile Phone,1,8,Debit Card,Male,2,4,Mobile Phone,2,Single
50054,0,19,Mobile Phone,3,6,E wallet,Female,3,3,Fashion,5,Married
50055,0,,Phone,1,15,Debit Card,Female,3,3,Mobile,2,Single
50056,0,4,Phone,1,18,Credit Card,Female,3,3,Mobile Phone,2,Divorced
50057,0,,Phone,1,33,CC,Female,3,3,Mobile,4,Single
50058,1,4,Phone,3,26,E wallet,Female,,3,Mobile,4,Single
50059,0,23,Phone,1,6,Credit Card,Male,2,4,Mobile Phone,3,Divorced
50060,0,26,Phone,1,19,Credit Card,Female,2,2,Laptop & Accessory,5,Married
50061,0,6,Phone,1,20,CC,Female,,3,Mobile,4,Divorced
50062,0,13,Mobile Phone,1,10,Credit Card,Female,2,3,Others,3,Divorced
50063,0,28,Mobile Phone,1,20,Credit Card,Male,3,2,Others,4,Single
50064,0,7,Computer,1,8,Debit Card,Male,2,4,Laptop & Accessory,3,Divorced
50065,0,24,Mobile Phone,1,9,Credit Card,Female,3,3,Grocery,4,Single
50066,0,25,Mobile Phone,1,6,Debit Card,Male,3,4,Others,3,Divorced
50067,0,,Phone,1,15,CC,Female,2,3,Mobile,4,Single
50068,1,0,Mobile Phone,1,29,Debit Card,Male,2,4,Laptop & Accessory,3,Divorced
50069,0,,Computer,1,13,CC,Male,2,2,Mobile,2,Married
50070,0,18,Computer,1,8,Credit Card,Male,3,4,Grocery,2,Divorced
50071,0,10,Phone,1,27,Debit Card,Male,3,2,Mobile Phone,5,Divorced
50072,0,8,Computer,1,8,Credit Card,Female,2,3,Laptop & Accessory,4,Single
50073,0,15,Computer,1,27,Credit Card,Female,2,3,Laptop & Accessory,3,Married
50074,0,11,Mobile Phone,1,8,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced
50075,0,11,Mobile Phone,1,35,COD,Male,2,3,Laptop & Accessory,2,Divorced
50076,0,0,Computer,1,6,COD,Male,2,4,Laptop & Accessory,5,Divorced
50077,0,22,Computer,1,24,Debit Card,Male,3,3,Laptop & Accessory,2,Married
50078,0,7,Computer,1,16,Credit Card,Male,2,3,Mobile Phone,3,Married
50079,0,13,Phone,1,25,CC,Male,,3,Laptop & Accessory,2,Divorced
50080,1,1,Mobile Phone,1,35,Credit Card,Male,3,3,Laptop & Accessory,5,Divorced
50081,1,0,Mobile Phone,3,33,E wallet,Female,2,3,Fashion,2,Divorced
50082,0,0,Phone,1,,Debit Card,Male,2,2,Mobile,4,Married
50083,0,,Computer,1,24,CC,Female,3,3,Mobile,2,Single
50084,0,13,Computer,1,15,Debit Card,Male,3,4,Laptop & Accessory,2,Divorced
50085,0,19,Mobile Phone,1,6,Credit Card,Male,3,3,Fashion,5,Married
50086,1,0,Mobile Phone,3,10,Credit Card,Male,2,5,Fashion,2,Divorced
50087,0,3,Computer,1,6,Debit Card,Male,2,4,Fashion,3,Single
50088,0,0,Computer,3,26,Debit Card,Female,2,3,Laptop & Accessory,3,Single
50089,0,24,Mobile Phone,1,14,Debit Card,Male,2,4,Fashion,4,Divorced
50090,1,0,Phone,1,,COD,Female,2,3,Mobile,5,Single
50091,0,14,Mobile Phone,3,12,Debit Card,Female,3,3,Fashion,2,Single
50092,1,0,Computer,3,32,E wallet,Female,2,4,Laptop & Accessory,5,Single
50093,1,,Phone,1,6,Cash on Delivery,Male,2,3,Mobile,3,Single
50094,0,18,Computer,3,12,Credit Card,Female,2,4,Fashion,2,Single
50095,0,27,Mobile Phone,3,9,E wallet,Female,2,3,Laptop & Accessory,5,Divorced
50096,0,9,Mobile Phone,1,11,Debit Card,Male,3,3,Laptop & Accessory,4,Single
50097,0,6,Phone,1,,CC,Female,2,4,Mobile,4,Divorced
50098,0,10,Computer,1,17,UPI,Male,2,3,Fashion,2,Married
50099,0,11,Mobile Phone,3,9,Debit Card,Male,3,3,Fashion,3,Married
50100,0,4,Computer,1,6,Credit Card,Male,2,5,Laptop & Accessory,3,Divorced
50101,0,,Phone,1,9,Debit Card,Male,3,4,Mobile,2,Divorced
50102,0,10,Computer,3,10,E wallet,Male,2,3,Mobile Phone,2,Married
50103,0,2,Computer,3,6,Credit Card,Female,2,3,Fashion,2,Divorced
50104,0,8,Computer,3,6,E wallet,Female,3,3,Fashion,3,Single
50105,1,0,Phone,1,,CC,Male,2,4,Mobile,2,Single
50106,0,25,Phone,1,8,Debit Card,Female,2,4,Mobile,2,Single
50107,0,15,Mobile Phone,1,10,Cash on Delivery,Male,2,3,Others,2,Divorced
50108,0,,Phone,2,12,CC,Male,2,3,Mobile,3,Divorced
50109,0,23,Mobile Phone,3,6,Credit Card,Female,3,3,Others,2,Married
50110,1,0,Phone,1,,CC,Male,2,3,Mobile,2,Divorced
50111,0,16,Mobile Phone,3,22,E wallet,Female,3,3,Grocery,2,Divorced
50112,1,0,Phone,1,8,Debit Card,Female,,3,Mobile,5,Divorced
50113,0,25,Computer,3,8,Debit Card,Male,3,4,Others,3,Single
50114,0,5,Phone,3,10,Debit Card,Female,2,3,Mobile Phone,4,Divorced
50115,1,0,Phone,1,6,Debit Card,Male,3,4,Mobile Phone,3,Single
50116,0,,Phone,1,6,CC,Female,3,3,Mobile,3,Married
50117,0,5,Computer,3,32,E wallet,Male,3,3,Laptop & Accessory,2,Divorced
50118,0,14,Phone,1,25,Debit Card,Male,,3,Laptop & Accessory,5,Married
50119,0,13,Phone,1,30,COD,Male,3,3,Laptop & Accessory,2,Married
50120,0,18,Mobile Phone,1,6,UPI,Male,3,2,Others,2,Divorced
50121,0,4,Computer,1,9,Credit Card,Male,3,3,Fashion,3,Married
50122,0,6,Phone,1,11,Debit Card,Female,,4,Mobile,2,Divorced
50123,0,7,Mobile Phone,1,8,Debit Card,Male,2,4,Laptop & Accessory,5,Divorced
50124,0,10,Phone,1,6,Credit Card,Female,2,4,Mobile Phone,5,Divorced
50125,0,18,Computer,1,13,Debit Card,Male,3,2,Laptop & Accessory,3,Divorced
50126,1,0,Computer,1,16,Credit Card,Male,3,3,Fashion,3,Married
50127,0,12,Computer,1,8,Cash on Delivery,Female,3,3,Fashion,3,Single
50128,0,2,Phone,1,,Debit Card,Male,2,3,Mobile,2,Single
50129,0,15,Mobile Phone,1,23,Debit Card,Female,2,2,Laptop & Accessory,5,Single
50130,0,2,Mobile Phone,3,26,E wallet,Male,2,3,Laptop & Accessory,2,Married
50131,0,0,Phone,1,6,Debit Card,Female,3,3,Laptop & Accessory,3,Divorced
50132,0,15,Phone,1,,CC,Female,2,4,Mobile,5,Married
50133,0,13,Mobile Phone,1,8,Credit Card,Male,2,3,Others,3,Married
50134,0,24,Phone,1,6,Debit Card,Male,,3,Mobile,2,Divorced
50135,1,0,Computer,1,35,CC,Male,3,4,Mobile,4,Single
50136,0,5,Computer,1,13,Debit Card,Male,,2,Mobile,4,Divorced
50137,0,11,Computer,3,8,Debit Card,Male,2,4,Laptop & Accessory,2,Divorced
50138,0,,Phone,1,8,Cash on Delivery,Male,2,4,Laptop & Accessory,5,Single
50139,0,19,Mobile Phone,3,8,Cash on Delivery,Female,3,5,Grocery,4,Divorced
50140,1,0,Phone,1,8,Debit Card,Male,3,3,Mobile,3,Single
50141,0,2,Mobile Phone,3,8,Credit Card,Male,3,4,Laptop & Accessory,4,Divorced
50142,0,4,Mobile Phone,1,29,Credit Card,Male,3,4,Laptop & Accessory,2,Divorced
50143,0,0,Computer,1,11,Debit Card,Male,2,2,Laptop & Accessory,5,Married
50144,0,18,Mobile Phone,1,26,Credit Card,Male,3,3,Grocery,2,Divorced
50145,0,9,Phone,1,12,Debit Card,Male,2,3,Mobile,2,Divorced
50146,0,28,Mobile Phone,1,6,Credit Card,Male,2,3,Others,5,Single
50147,1,10,Computer,1,35,Debit Card,Male,2,3,Fashion,4,Divorced
50148,0,,Phone,1,15,CC,Male,3,3,Mobile,2,Divorced
50149,0,10,Mobile Phone,3,12,Credit Card,Male,3,3,Laptop & Accessory,2,Divorced
50150,0,0,Phone,1,9,CC,Male,3,4,Mobile,3,Single
50151,0,10,Computer,1,6,Credit Card,Female,0,3,Fashion,2,Married
50152,0,2,Mobile Phone,1,28,Debit Card,Female,3,2,Fashion,4,Married
50153,0,11,Mobile Phone,3,13,Credit Card,Female,2,2,Laptop & Accessory,5,Married
50154,0,0,Computer,1,6,Debit Card,Female,2,3,Laptop & Accessory,4,Married
50155,0,23,Mobile Phone,1,10,Debit Card,Male,3,3,Others,4,Married
50156,0,26,Mobile Phone,1,9,Credit Card,Male,2,3,Grocery,3,Divorced
50157,0,15,Phone,3,6,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced
50158,0,2,Computer,3,8,Debit Card,Male,2,3,Laptop & Accessory,2,Single
50159,0,28,Mobile Phone,1,26,COD,Male,2,3,Laptop & Accessory,2,Divorced
50160,0,0,Computer,1,17,Credit Card,Male,2,3,Laptop & Accessory,5,Divorced
50161,0,,Phone,1,6,Debit Card,Female,2,3,Mobile,2,Single
50162,1,7,Computer,1,30,Debit Card,Male,,3,Mobile,3,Married
50163,0,11,Mobile Phone,1,29,Debit Card,Male,2,3,Laptop & Accessory,2,Married
50164,1,0,Phone,1,,CC,Male,2,3,Mobile,4,Married
50165,0,1,Phone,1,14,Debit Card,Female,3,3,Mobile,2,Single
50166,0,22,Computer,1,16,Debit Card,Female,2,3,Others,5,Single
50167,0,9,Phone,1,9,COD,Male,1,3,Laptop & Accessory,4,Single
50168,0,4,Computer,3,11,E wallet,Female,,3,Mobile,4,Married
50169,1,0,Mobile Phone,3,10,E wallet,Male,2,4,Laptop & Accessory,2,Single
50170,0,10,Computer,1,,CC,Male,2,3,Mobile,2,Divorced
50171,0,15,Computer,3,32,E wallet,Female,3,3,Grocery,4,Divorced
50172,1,,Mobile Phone,1,9,Debit Card,Male,2,3,Mobile Phone,3,Single
50173,0,8,Mobile Phone,3,22,E wallet,Male,3,3,Fashion,4,Divorced
50174,0,9,Computer,1,24,Debit Card,Male,2,2,Mobile Phone,2,Divorced
50175,0,24,Mobile Phone,1,8,Credit Card,Male,2,5,Laptop & Accessory,4,Married
50176,0,14,Mobile Phone,3,8,Debit Card,Male,2,3,Grocery,4,Single
50177,0,0,Mobile Phone,3,16,Credit Card,Female,3,4,Mobile Phone,3,Single
50178,0,1,Mobile Phone,1,22,Credit Card,Male,3,2,Laptop & Accessory,5,Single
50179,0,4,Mobile Phone,3,13,COD,Male,3,2,Laptop & Accessory,2,Divorced
50180,0,12,Mobile Phone,1,6,Credit Card,Male,2,2,Fashion,2,Married
50181,0,9,Computer,1,30,Debit Card,Female,2,3,Laptop & Accessory,4,Divorced
50182,0,5,Mobile Phone,3,13,Debit Card,Male,3,4,Laptop & Accessory,3,Divorced
50183,0,11,Mobile Phone,1,31,Debit Card,Female,2,4,Fashion,4,Divorced
50184,0,30,Computer,1,6,Debit Card,Male,2,5,Laptop & Accessory,3,Married
50185,0,4,Phone,1,11,COD,Male,2,3,Mobile Phone,2,Divorced
50186,0,4,Mobile Phone,2,8,UPI,Male,3,4,Laptop & Accessory,5,Divorced
50187,0,18,Computer,1,13,Debit Card,Male,3,3,Fashion,5,Married
50188,0,4,Phone,1,8,Debit Card,Male,,3,Mobile,2,Married
50189,0,6,Computer,1,11,Debit Card,Female,3,3,Fashion,4,Divorced
50190,0,12,Mobile Phone,1,16,Credit Card,Male,2,3,Grocery,5,Divorced
50191,0,16,Computer,1,,Debit Card,Female,2,3,Mobile,2,Single
50192,0,22,Mobile Phone,1,6,Cash on Delivery,Female,2,4,Grocery,3,Single
50193,1,15,Phone,1,14,Credit Card,Male,2,4,Laptop & Accessory,4,Divorced
50194,0,0,Phone,1,,Debit Card,Female,2,3,Mobile,4,Single
50195,0,5,Mobile Phone,3,14,COD,Female,3,4,Laptop & Accessory,4,Divorced
50196,0,0,Phone,3,8,Debit Card,Male,3,3,Laptop & Accessory,3,Single
50197,0,4,Mobile Phone,3,13,E wallet,Male,3,3,Laptop & Accessory,2,Married
50198,0,5,Mobile Phone,1,8,Credit Card,Female,3,2,Laptop & Accessory,2,Single
50199,1,0,Phone,1,8,CC,Male,2,5,Mobile,2,Divorced
50200,0,3,Mobile Phone,1,34,Credit Card,Female,3,3,Laptop & Accessory,2,Divorced
50201,0,4,Computer,1,13,Debit Card,Female,2,4,Fashion,3,Divorced
50202,0,12,Computer,1,5,Credit Card,Male,2,4,Others,2,Divorced
50203,1,2,Mobile Phone,3,9,Credit Card,Female,2,3,Laptop & Accessory,3,Divorced
50204,0,6,Computer,3,16,E wallet,Male,2,4,Laptop & Accessory,2,Single
50205,0,20,Mobile Phone,1,11,Debit Card,Male,2,3,Others,3,Divorced
50206,0,16,Computer,1,16,Debit Card,Female,2,4,Laptop & Accessory,3,Married
50207,0,0,Computer,3,6,E wallet,Male,3,3,Laptop & Accessory,4,Divorced
50208,0,27,Computer,1,26,Debit Card,Female,2,3,Laptop & Accessory,3,Single
50209,0,16,Mobile Phone,1,13,Debit Card,Female,2,3,Fashion,5,Divorced
50210,0,18,Phone,1,14,UPI,Male,3,3,Laptop & Accessory,2,Divorced
50211,0,13,Mobile Phone,3,6,Credit Card,Male,2,5,Laptop & Accessory,2,Divorced
50212,1,,Phone,1,14,UPI,Male,3,5,Mobile,5,Divorced
50213,0,2,Phone,1,15,UPI,Male,1,4,Mobile Phone,2,Single
50214,0,3,Mobile Phone,3,11,E wallet,Female,1,4,Laptop & Accessory,3,Married
50215,0,0,Mobile Phone,3,14,E wallet,Female,2,3,Laptop & Accessory,4,Divorced
50216,0,10,Mobile Phone,1,11,Credit Card,Male,3,3,Laptop & Accessory,2,Married
50217,0,11,Mobile Phone,1,21,Debit Card,Male,3,4,Fashion,2,Married
50218,0,4,Mobile Phone,1,13,Credit Card,Female,2,3,Fashion,2,Single
50219,0,2,Mobile Phone,3,16,E wallet,Female,2,4,Laptop & Accessory,4,Married
50220,0,8,Mobile Phone,1,11,COD,Male,3,3,Fashion,4,Single
50221,0,0,Phone,1,32,Debit Card,Male,,3,Mobile,2,Married
50222,0,14,Mobile Phone,1,12,Credit Card,Male,3,4,Laptop & Accessory,4,Single
50223,0,20,Computer,3,10,CC,Male,,3,Laptop & Accessory,3,Single
50224,0,15,Mobile Phone,1,29,Debit Card,Female,2,3,Grocery,2,Single
50225,0,2,Computer,3,8,Debit Card,Male,3,3,Laptop & Accessory,3,Divorced
50226,0,15,Phone,2,8,COD,Male,,3,Mobile,3,Married
50227,0,5,Phone,1,,CC,Female,3,3,Mobile,4,Divorced
50228,0,21,Mobile Phone,3,35,Credit Card,Female,3,3,Fashion,3,Divorced
50229,0,10,Mobile Phone,1,12,Credit Card,Male,2,2,Laptop & Accessory,5,Married
50230,0,3,Computer,3,31,COD,Female,2,3,Laptop & Accessory,3,Divorced
50231,0,0,Mobile Phone,3,6,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced
50232,0,15,Mobile Phone,1,8,UPI,Male,3,4,Laptop & Accessory,2,Single
50233,1,,Computer,3,6,Cash on Delivery,Female,2,4,Mobile,4,Single
50234,0,9,Computer,3,6,Credit Card,Female,2,3,Laptop & Accessory,2,Single
50235,0,9,Computer,3,9,Credit Card,Male,2,4,Fashion,2,Divorced
50236,0,30,Mobile Phone,1,6,Credit Card,Male,2,3,Laptop & Accessory,3,Divorced
50237,0,,Phone,1,16,Debit Card,Female,2,2,Mobile,3,Divorced
50238,0,0,Computer,3,,CC,Male,2,3,Mobile,2,Single
50239,1,0,Phone,3,11,E wallet,Female,,3,Mobile,3,Single
50240,0,10,Phone,1,16,CC,Female,3,3,Mobile,5,Divorced
50241,0,19,Computer,1,13,Credit Card,Female,1,3,Laptop & Accessory,3,Divorced
50242,1,4,Computer,3,10,E wallet,Male,2,3,Laptop & Accessory,4,Single
50243,0,23,Mobile Phone,1,16,Cash on Delivery,Male,3,4,Fashion,2,Single
50244,1,3,Mobile Phone,3,28,E wallet,Male,3,4,Laptop & Accessory,3,Divorced
50245,0,4,Phone,1,,Debit Card,Male,2,4,Mobile,4,Single
50246,1,0,Phone,3,18,Debit Card,Female,,2,Mobile,4,Single
50247,0,,Phone,1,29,Debit Card,Male,2,3,Mobile,2,Single
50248,0,8,Mobile Phone,1,15,Debit Card,Male,3,4,Laptop & Accessory,4,Single
50249,0,0,Phone,1,6,Credit Card,Male,2,3,Mobile Phone,4,Married
50250,0,1,Mobile Phone,3,15,Debit Card,Male,3,3,Laptop & Accessory,2,Single
50251,0,22,Phone,1,13,UPI,Male,2,4,Fashion,3,Single
50252,0,24,Phone,3,20,Debit Card,Female,2,3,Laptop & Accessory,2,Divorced
50253,0,9,Phone,1,,Debit Card,Female,3,3,Mobile,3,Divorced
50254,1,0,Computer,3,25,E wallet,Male,3,2,Laptop & Accessory,2,Single
50255,0,28,Mobile Phone,1,8,Debit Card,Female,3,3,Grocery,2,Single
50256,0,0,Phone,3,16,E wallet,Female,3,3,Laptop & Accessory,3,Married
50257,0,3,Phone,3,,COD,Male,3,3,Mobile,4,Divorced
50258,1,0,Computer,1,9,COD,Male,,3,Mobile,5,Single
50259,0,,Phone,1,17,CC,Female,2,3,Mobile,4,Divorced
50260,0,9,Mobile Phone,3,8,Credit Card,Male,3,4,Fashion,3,Divorced
50261,1,,Computer,1,10,COD,Male,2,3,Mobile,2,Single
50262,0,10,Phone,1,20,Debit Card,Female,,3,Mobile,5,Married
50263,0,13,Mobile Phone,3,8,E wallet,Female,2,3,Laptop & Accessory,4,Married
50264,0,15,Phone,1,,Debit Card,Female,3,3,Mobile,5,Married
50265,0,10,Phone,1,16,Debit Card,Male,2,3,Laptop & Accessory,4,Single
50266,0,16,Mobile Phone,1,18,Debit Card,Male,2,4,Grocery,4,Married
50267,0,13,Phone,1,8,CC,Female,3,4,Laptop & Accessory,3,Divorced
50268,0,27,Mobile Phone,1,11,Credit Card,Male,2,3,Others,5,Divorced
50269,0,7,Computer,3,10,E wallet,Female,3,3,Laptop & Accessory,3,Divorced
50270,0,4,Phone,1,13,Credit Card,Female,2,3,Laptop & Accessory,5,Divorced
50271,0,,Computer,1,27,CC,Male,3,3,Mobile,2,Divorced
50272,0,16,Phone,1,14,UPI,Female,3,3,Laptop & Accessory,3,Married
50273,0,0,Phone,3,10,Debit Card,Female,2,4,Laptop & Accessory,2,Single
50274,0,10,Computer,1,31,Credit Card,Female,3,3,Laptop & Accessory,3,Divorced
50275,0,,Phone,1,6,Debit Card,Male,3,4,Mobile,5,Divorced
50276,0,12,Computer,1,6,Debit Card,Male,2,3,Others,3,Married
50277,0,29,Computer,3,12,Debit Card,Female,2,2,Grocery,5,Divorced
50278,0,3,Mobile Phone,3,18,COD,Female,2,3,Laptop & Accessory,3,Single
50279,0,14,Mobile Phone,3,6,E wallet,Male,2,2,Fashion,5,Divorced
50280,0,1,Phone,1,23,Credit Card,Male,3,3,Laptop & Accessory,5,Married
50281,1,0,Phone,1,9,Credit Card,Male,3,3,Mobile Phone,5,Divorced
50282,0,25,Mobile Phone,1,9,Credit Card,Male,2,4,Fashion,3,Divorced
50283,0,18,Phone,1,,Debit Card,Male,3,3,Mobile,2,Divorced
50284,0,25,Mobile Phone,1,10,Debit Card,Female,1,3,Grocery,2,Divorced
50285,0,15,Computer,1,35,Debit Card,Female,3,3,Laptop & Accessory,3,Married
50286,0,3,Mobile Phone,1,8,Debit Card,Female,2,5,Laptop & Accessory,2,Single
50287,0,30,Mobile Phone,1,13,Debit Card,Female,2,3,Others,5,Divorced
50288,0,19,Phone,1,24,Credit Card,Female,2,3,Laptop & Accessory,3,Married
50289,0,15,Computer,1,34,COD,Female,2,4,Laptop & Accessory,2,Divorced
50290,1,0,Phone,3,6,COD,Female,3,3,Mobile,4,Single
50291,1,0,Computer,3,,E wallet,Female,2,5,Mobile,3,Married
50292,0,,Computer,1,8,Debit Card,Male,2,3,Mobile Phone,2,Divorced
50293,0,13,Mobile Phone,3,8,Debit Card,Female,3,3,Others,3,Divorced
50294,0,0,Phone,1,29,Debit Card,Female,,3,Mobile,2,Married
50295,0,,Computer,1,9,Debit Card,Male,2,3,Mobile,2,Divorced
50296,0,2,Mobile Phone,1,9,Credit Card,Male,3,4,Fashion,3,Divorced
50297,1,0,Phone,1,,COD,Female,3,4,Mobile,4,Divorced
50298,1,0,Phone,2,,COD,Male,2,4,Mobile,2,Single
50299,0,3,Computer,3,28,UPI,Female,3,3,Fashion,5,Divorced
50300,0,30,Mobile Phone,3,35,E wallet,Male,2,4,Grocery,2,Married
50301,0,23,Mobile Phone,1,35,Debit Card,Male,2,4,Grocery,3,Divorced
50302,0,3,Computer,1,,CC,Female,2,3,Mobile,2,Single
50303,0,30,Computer,3,34,E wallet,Female,3,4,Fashion,5,Divorced
50304,0,20,Mobile Phone,1,8,Credit Card,Female,3,3,Laptop & Accessory,2,Married
50305,0,19,Mobile Phone,1,8,Debit Card,Male,2,3,Grocery,3,Divorced
50306,0,8,Phone,1,28,Debit Card,Male,2,5,Mobile Phone,3,Single
50307,0,27,Phone,1,14,Debit Card,Female,2,3,Laptop & Accessory,3,Single
50308,0,7,Phone,1,8,Debit Card,Male,,4,Mobile,3,Married
50309,0,19,Mobile Phone,3,16,E wallet,Female,3,4,Fashion,2,Divorced
50310,0,4,Mobile Phone,1,15,Debit Card,Male,2,3,Fashion,4,Married
50311,1,0,Mobile Phone,1,21,Credit Card,Male,2,3,Fashion,3,Divorced
50312,1,0,Phone,1,16,CC,Male,2,5,Mobile,2,Married
50313,0,3,Phone,3,13,E wallet,Male,,3,Mobile,4,Single
50314,0,8,Mobile Phone,1,22,Debit Card,Male,3,3,Fashion,3,Divorced
50315,1,0,Computer,1,26,Debit Card,Male,3,3,Fashion,3,Divorced
50316,1,0,Computer,2,29,UPI,Female,2,3,Fashion,5,Married
50317,0,,Computer,1,11,UPI,Male,3,3,Mobile,3,Divorced
50318,0,9,Computer,3,16,Credit Card,Male,2,3,Fashion,2,Single
50319,1,0,Computer,1,10,COD,Male,2,4,Mobile Phone,3,Single
50320,0,21,Phone,3,8,E wallet,Female,2,3,Laptop & Accessory,2,Divorced
50321,0,28,Mobile Phone,3,24,Debit Card,Female,2,3,Grocery,4,Single
50322,0,14,Computer,3,16,Debit Card,Male,2,3,Laptop & Accessory,2,Single
50323,0,8,Phone,3,6,E wallet,Male,2,3,Laptop & Accessory,3,Divorced
50324,0,13,Mobile Phone,1,12,Debit Card,Female,3,3,Grocery,3,Single
50325,0,12,Computer,1,14,Debit Card,Female,2,3,Mobile Phone,3,Divorced
50326,0,4,Mobile Phone,3,8,Debit Card,Male,3,3,Laptop & Accessory,2,Single
50327,0,15,Mobile Phone,1,30,Credit Card,Male,2,3,Fashion,5,Divorced
50328,0,18,Phone,3,8,UPI,Male,3,3,Laptop & Accessory,4,Divorced
50329,1,0,Computer,2,23,Debit Card,Female,,3,Mobile,3,Married
50330,0,2,Phone,1,25,COD,Male,2,3,Laptop & Accessory,2,Married
50331,0,6,Mobile Phone,1,6,Credit Card,Female,3,2,Grocery,3,Married
50332,0,0,Mobile Phone,3,13,Debit Card,Male,2,4,Fashion,2,Married
50333,1,,Computer,3,11,E wallet,Male,3,3,Mobile Phone,4,Single
50334,0,13,Computer,3,34,UPI,Male,2,5,Fashion,5,Married
