CustomerID,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
50075,4,0,18,0,1,7,163
50076,6,0,19,0,2,0,143
50077,2,1,15,0,1,7,168
50078,2,1,17,2,2,0,138
50079,9,1,15,1,3,7,127
50080,8,1,19,0,1,0,167
50081,2,0,22,1,1,9,176
50082,2,1,16,0,2,2,123
50083,2,0,13,1,1,7,122
50084,10,0,14,1,1,2,149
50085,8,0,16,0,1,3,194
50086,2,0,11,7,9,8,204
50087,2,0,22,2,5,8,185
50088,2,0,14,1,1,7,200
50089,6,0,16,1,4,,225
50090,6,1,11,1,1,4,127
50091,4,1,18,0,,0,236
50092,6,0,15,0,1,1,167
50093,1,0,14,0,1,5,121
50094,7,0,12,12,12,8,189
50095,3,0,14,1,1,5,159
50096,9,0,16,0,3,7,159
50097,7,0,21,0,1,1,126
50098,2,1,14,0,1,,222
50099,1,0,12,1,5,13,206
50100,1,0,12,1,1,4,143
50101,4,0,17,0,1,0,122
50102,5,0,17,1,5,8,0
50103,2,0,14,4,4,1,179
50104,2,0,14,1,1,8,188
50105,2,1,13,0,1,1,124
50106,8,0,15,0,2,2,132
50107,2,0,,0,11,15,292
50108,9,0,17,2,2,2,123
50109,4,0,,1,1,6,295
50110,6,1,13,0,1,4,124
50111,6,1,22,0,,9,261
50112,8,0,20,1,1,7,127
50113,2,1,18,,15,12,291
50114,3,0,11,1,1,2,139
50115,1,1,14,1,1,2,137
50116,8,0,14,0,1,2,122
50117,1,0,18,1,2,2,145
50118,3,0,16,1,1,0,131
50119,2,0,17,2,4,7,133
50120,1,0,,1,1,7,292
50121,10,0,12,1,,2,237
50122,2,0,13,0,1,2,129
50123,7,0,13,0,5,9,160
50124,3,0,14,1,1,2,139
50125,5,0,17,0,1,2,164
50126,7,0,11,1,1,0,200
50127,1,0,25,10,11,,209
50128,2,0,19,0,1,5,123
50129,4,1,13,0,1,2,165
50130,3,0,14,1,1,2,169
50131,1,0,12,1,1,2,149
50132,1,1,11,4,7,8,126
50133,1,0,,0,3,9,294
50134,2,0,11,1,1,0,127
50135,1,0,11,1,1,4,135
50136,2,0,20,0,1,3,128
50137,4,0,18,6,7,5,152
50138,5,0,13,0,1,4,122
50139,4,1,12,,7,7,269
50140,3,0,11,1,1,0,135
50141,3,0,19,0,1,0,166
50142,1,0,21,1,7,8,156
50143,2,0,12,1,1,5,140
50144,1,1,14,0,,10,235
50145,1,0,11,4,10,11,132
50146,1,1,14,,4,13,290
50147,2,1,12,5,9,,218
50148,2,0,23,1,1,4,121
50149,5,0,14,0,1,1,165
50150,2,0,17,1,1,0,132
50151,3,1,18,0,,2,236
50152,8,0,18,5,6,,220
50153,2,1,24,0,7,7,156
50154,2,0,20,0,1,4,164
50155,4,0,14,,1,6,291
50156,4,1,16,,1,3,276
50157,2,0,25,4,11,6,149
50158,2,0,18,0,1,9,146
50159,4,1,19,1,1,8,154
50160,2,1,13,2,3,3,147
50161,2,0,12,1,5,7,121
50162,4,1,22,0,1,0,132
50163,10,0,14,0,1,2,157
50164,3,1,13,1,1,2,124
50165,2,0,21,0,1,2,133
50166,10,1,11,,1,2,287
50167,5,0,12,6,7,7,145
50168,2,0,11,0,2,2,128
50169,2,1,12,7,7,4,158
50170,2,1,12,0,1,2,123
50171,6,0,14,2,,8,235
50172,2,0,13,0,1,0,114
50173,1,0,15,3,6,9,180
50174,5,0,18,0,1,0,137
50175,6,0,18,0,1,2,155
50176,2,0,19,1,,4,260
50177,2,0,12,1,1,0,112
50178,1,0,19,0,1,7,157
50179,5,0,11,3,7,7,169
50180,1,0,17,3,3,7,196
50181,8,0,15,0,1,8,157
50182,2,0,14,1,4,8,155
50183,4,0,17,1,1,,221
50184,3,1,13,1,1,2,157
50185,1,1,12,0,1,3,148
50186,4,0,12,0,1,0,164
50187,2,0,18,5,9,11,152
50188,1,1,18,1,2,2,127
50189,7,0,11,2,8,,219
50190,2,1,14,,11,10,271
50191,1,0,19,0,1,7,125
50192,8,1,12,1,,7,240
50193,3,0,15,7,7,7,149
50194,2,1,12,0,1,2,125
50195,2,1,11,6,11,9,152
50196,2,1,11,1,1,4,145
50197,5,0,12,0,1,7,175
50198,8,0,16,1,1,7,151
50199,6,1,13,2,2,2,135
50200,2,0,13,0,1,9,158
50201,2,0,24,3,8,9,189
50202,2,0,,9,13,3,293
50203,5,1,18,1,1,0,152
50204,4,0,14,1,1,1,147
50205,5,0,11,,1,1,283
50206,2,0,11,0,1,0,153
50207,1,1,13,0,1,4,163
50208,4,0,12,1,1,3,149
50209,9,0,16,1,1,0,200
50210,10,0,14,7,9,8,137
50211,3,1,22,1,1,2,175
50212,2,1,11,1,1,7,121
50213,1,0,17,2,2,2,140
50214,2,0,13,0,1,2,161
50215,2,0,18,0,1,7,162
50216,8,0,16,0,1,4,163
50217,1,1,14,1,2,,215
50218,2,1,14,2,4,10,171
50219,2,1,14,0,1,7,183
50220,1,0,13,0,1,13,181
50221,2,0,12,1,1,2,129
50222,7,1,15,1,1,2,160
50223,4,0,19,0,1,0,130
50224,3,0,14,0,,0,260
50225,2,0,14,1,1,2,146
50226,1,1,11,1,1,0,127
50227,2,0,13,0,1,7,124
50228,4,0,21,0,1,,225
50229,5,1,13,2,6,7,160
50230,8,1,12,1,2,2,147
50231,2,0,17,2,7,7,153
50232,4,0,23,0,1,0,168
50233,2,1,11,1,1,2,122
50234,5,0,15,1,1,0,167
50235,5,0,11,0,1,12,197
50236,3,0,11,1,1,2,168
50237,4,1,13,0,1,7,122
50238,2,0,24,0,2,2,126
50239,2,1,13,1,1,0,129
50240,7,0,20,1,1,3,135
50241,3,0,14,0,1,0,153
50242,2,0,18,7,7,7,194
50243,7,0,15,0,1,3,205
50244,3,1,12,1,1,0,164
50245,1,1,16,1,2,2,127
50246,2,0,15,0,1,0,127
50247,10,0,16,1,1,2,122
50248,10,0,19,1,1,0,165
50249,2,0,11,0,1,4,138
50250,2,0,16,1,1,7,153
50251,9,0,24,1,1,0,145
50252,5,0,11,0,1,7,149
50253,5,0,13,1,2,2,125
50254,9,1,13,1,1,4,153
50255,3,1,13,,1,2,267
50256,2,1,12,0,1,3,143
50257,2,0,18,1,1,0,125
50258,1,0,22,0,1,4,131
50259,2,0,13,1,1,2,122
50260,2,0,13,9,9,0,176
50261,19,1,23,1,1,0,123
50262,2,0,12,3,12,17,130
50263,8,0,12,0,1,3,157
50264,4,0,16,1,1,2,126
50265,3,1,12,0,1,1,142
50266,2,0,11,0,,9,243
50267,7,0,22,1,1,0,134
50268,5,0,,1,1,2,294
50269,10,0,15,1,1,2,165
50270,2,0,12,3,3,12,143
50271,8,0,20,0,1,2,123
50272,5,1,14,0,1,2,145
50273,2,1,11,0,1,3,145
50274,4,1,15,3,10,7,144
50275,2,0,12,0,3,2,122
50276,2,1,14,0,1,6,292
50277,10,0,11,2,,7,232
50278,1,0,11,3,4,4,166
50279,2,0,16,1,1,7,184
50280,2,0,12,0,1,8,146
50281,6,0,13,1,1,2,140
50282,3,1,14,0,1,4,180
50283,4,0,21,1,1,2,127
50284,3,0,13,,1,4,266
50285,3,0,11,1,1,2,146
50286,3,0,20,0,1,2,161
50287,6,0,,0,11,10,296
50288,3,0,14,0,1,8,148
50289,1,0,11,0,1,4,145
50290,2,1,16,1,1,4,132
50291,1,0,16,1,1,0,124
50292,2,1,23,1,1,0,117
50293,1,0,14,,1,12,280
50294,2,0,22,1,1,2,129
50295,5,0,15,0,1,4,121
50296,2,0,18,1,1,,219
50297,6,0,16,0,1,1,125
50298,2,0,12,1,1,0,126
50299,1,0,11,2,7,8,184
50300,4,0,12,0,,0,241
50301,1,0,15,,15,7,270
50302,1,0,14,5,6,7,126
50303,5,0,19,13,13,11,203
50304,6,0,13,0,1,4,151
50305,7,0,13,,1,1,279
50306,1,0,15,2,4,3,142
50307,8,0,11,1,1,0,138
50308,4,0,12,5,5,7,128
50309,3,1,19,1,1,2,191
50310,2,0,25,1,1,8,206
50311,8,1,12,0,,7,236
50312,8,0,13,0,1,3,134
50313,1,0,14,1,1,2,130
50314,5,1,12,0,1,0,176
50315,4,0,12,1,1,0,198
50316,10,1,15,1,1,2,200
50317,5,0,17,2,2,0,121
50318,2,0,14,1,9,7,200
50319,6,0,16,1,1,2,139
50320,3,0,14,4,6,7,141
50321,4,0,23,,7,7,268
50322,8,0,14,0,1,10,162
50323,10,0,11,3,6,9,147
50324,8,0,15,4,,13,232
50325,2,0,11,0,1,7,138
50326,5,1,13,1,1,5,166
50327,2,1,21,4,5,8,174
50328,1,0,19,3,3,7,148
50329,1,1,11,0,1,0,127
50330,5,0,12,0,1,2,143
50331,5,0,19,,1,5,262
50332,10,0,21,1,1,,216
50333,2,1,14,1,1,0,119
50334,4,0,15,1,1,,209
50335,3,1,17,0,1,7,168
50336,6,0,12,1,1,0,143
50337,2,0,16,0,1,3,149
50338,2,0,12,5,5,7,153
50339,2,1,18,1,1,0,123
50340,5,0,17,1,1,2,175
50341,6,0,11,1,1,2,205
50342,8,0,16,,11,8,266
50343,2,0,13,6,7,7,188
50344,4,1,12,2,6,9,156
50345,9,0,12,1,1,2,147
50346,1,0,13,0,2,1,124
50347,4,0,19,1,1,0,198
50348,7,0,12,3,4,3,164
50349,2,1,,0,1,9,295
50350,2,1,11,0,1,4,127
50351,2,0,20,1,1,4,163
50352,2,0,21,1,1,0,121
50353,2,0,11,,10,7,282
50354,2,0,11,1,1,6,121
50355,2,1,16,0,1,2,129
50356,2,0,18,1,1,0,120
50357,2,1,13,0,1,3,136
50358,3,0,17,0,1,2,142
50359,5,0,14,0,1,2,137
50360,5,0,22,3,5,7,155
50361,1,0,12,1,1,3,122
50362,5,1,11,0,1,0,196
50363,2,0,13,1,1,0,128
50364,2,0,13,2,2,2,141
50365,5,1,14,,1,0,266
50366,4,0,17,1,1,0,126
50367,4,1,13,2,4,7,157
50368,8,0,11,0,,2,254
50369,5,0,11,1,1,2,160
50370,2,1,18,1,1,6,126
50371,1,0,11,0,1,2,130
50372,2,0,11,1,1,2,134
50373,5,1,,1,1,1,295
50374,1,0,20,2,2,2,128
50375,1,0,12,1,1,2,171
50376,2,1,12,1,1,5,163
50377,2,0,20,1,1,0,121
50378,8,0,20,6,8,10,184
50379,2,0,12,6,8,8,127
50380,3,0,14,0,1,0,143
50381,2,1,13,0,1,2,127
50382,2,0,15,6,7,8,194
50383,2,0,14,0,1,2,156
50384,2,0,13,11,11,8,166
50385,4,0,23,4,4,7,177
50386,3,0,15,3,7,1,207
50387,3,1,11,1,1,2,188
50388,1,0,13,0,1,1,120
50389,2,1,11,0,1,1,110
50390,2,1,11,9,9,7,133
50391,2,0,18,1,1,0,113
50392,3,0,16,0,1,2,128
50393,1,0,22,0,1,2,149
50394,1,0,20,1,1,5,140
50395,2,0,18,2,2,8,127
50396,4,0,12,2,2,2,181
50397,2,1,20,1,1,4,146
50398,4,0,17,1,1,0,147
50399,2,1,11,3,3,8,132
50400,2,0,14,4,7,7,186
50401,10,0,14,1,2,0,146
50402,2,0,11,2,11,10,146
50403,2,0,12,0,1,8,154
50404,4,1,14,1,1,3,168
50405,1,0,13,1,1,8,176
50406,2,0,11,1,1,7,174
50407,4,0,15,3,7,,212
50408,3,0,12,0,1,7,150
50409,6,1,21,0,1,12,205
50410,4,0,19,0,,3,248
50411,4,0,15,,12,6,291
50412,9,0,14,1,2,2,154
50413,2,0,21,1,1,7,188
50414,2,0,12,,2,10,292
50415,8,0,15,1,2,2,139
50416,8,1,13,1,3,7,122
50417,10,0,14,0,1,,217
50418,5,1,14,0,1,0,179
50419,3,0,14,0,1,4,137
50420,10,1,12,7,,13,238
50421,8,0,23,4,7,7,153
50422,2,0,11,0,1,0,126
50423,7,1,12,2,2,2,128
50424,4,0,18,0,2,2,168
50425,4,0,11,1,4,3,161
50426,2,0,14,0,1,2,125
50427,10,0,15,3,3,6,164
50428,8,0,11,0,1,,211
50429,1,1,20,2,2,3,123
50430,9,0,19,1,1,7,168
50431,2,0,14,0,2,2,123
50432,3,0,17,1,2,2,125
50433,3,0,11,0,1,0,151
50434,2,0,15,2,4,7,153
50435,7,1,13,0,1,1,131
50436,4,0,14,1,1,0,151
50437,2,0,11,,1,16,269
50438,2,1,13,5,7,8,127
50439,2,0,23,0,1,4,162
50440,1,0,13,0,3,1,166
50441,2,0,18,1,1,2,135
50442,5,1,12,1,1,3,164
50443,2,0,22,0,1,4,163
50444,6,1,,1,1,4,299
50445,2,0,15,0,1,9,176
50446,1,0,18,1,1,2,143
50447,4,0,14,2,2,0,144
50448,5,0,12,1,1,1,143
50449,7,0,17,1,1,2,153
50450,3,0,16,0,1,3,133
50451,10,1,11,0,1,4,155
50452,1,0,19,0,1,1,143
50453,1,1,13,3,4,3,128
50454,7,1,12,4,4,12,160
50455,2,0,11,1,1,3,144
50456,2,0,16,0,1,2,126
50457,4,0,21,1,1,2,138
50458,2,0,24,0,3,7,142
50459,6,0,17,1,1,2,165
50460,2,0,13,,14,9,284
50461,2,1,21,1,1,0,116
50462,2,0,11,1,1,0,127
50463,9,0,20,1,1,4,131
50464,6,0,16,,1,3,276
50465,2,1,11,0,1,0,123
50466,1,0,11,0,3,,217
50467,6,0,15,1,1,2,153
50468,2,1,11,,3,0,268
50469,1,0,15,0,1,5,152
50470,2,0,24,1,1,7,127
50471,8,1,,5,13,8,292
50472,4,0,13,0,2,2,125
50473,10,1,13,0,1,2,161
50474,7,0,17,0,2,1,144
50475,4,0,13,1,1,4,121
50476,2,0,12,1,6,8,162
50477,7,0,14,1,1,0,151
50478,6,1,24,1,1,0,169
50479,2,0,14,1,1,0,123
50480,2,0,13,2,7,8,144
50481,3,0,15,1,1,2,163
50482,2,0,16,1,1,3,126
50483,2,0,18,0,7,7,177
50484,5,0,16,0,7,3,152
50485,7,0,24,,1,0,272
50486,2,1,16,0,1,,228
50487,4,0,21,0,1,6,202
50488,2,1,20,7,7,5,148
50489,1,0,19,1,1,2,137
50490,2,1,14,0,1,7,124
50491,2,0,11,1,1,0,117
50492,3,0,14,,4,17,263
50493,10,0,12,1,2,3,159
50494,8,0,13,1,1,1,134
50495,2,0,22,0,1,8,140
50496,2,0,11,1,1,1,126
50497,2,1,14,2,4,11,162
50498,3,0,11,0,1,3,144
50499,10,0,12,0,1,3,138
50500,8,1,18,0,1,,209
50501,5,1,12,1,1,2,208
50502,6,0,12,1,1,3,152
50503,4,0,22,0,,0,238
50504,5,0,19,1,1,0,163
50505,2,0,13,0,1,4,149
50506,7,0,22,2,2,2,148
50507,3,1,24,1,1,2,128
50508,6,1,14,0,2,2,125
50509,1,0,21,1,1,3,123
50510,2,1,18,1,1,3,142
50511,2,1,20,2,5,15,207
50512,2,1,19,0,7,8,120
50513,1,0,12,0,1,2,123
50514,2,0,12,1,1,3,143
50515,3,0,16,1,1,2,136
50516,1,0,17,0,3,4,132
50517,2,0,14,2,5,3,165
50518,1,0,19,0,1,2,129
50519,3,1,13,0,1,3,152
50520,4,1,19,1,1,2,124
50521,7,1,19,0,1,2,128
50522,6,0,14,0,2,,218
50523,4,0,16,3,4,8,209
50524,6,0,15,1,1,0,130
50525,7,0,18,2,,8,243
50526,5,0,13,1,2,2,156
50527,1,1,22,5,7,7,145
50528,2,1,13,0,1,9,176
50529,2,0,11,,14,7,279
50530,9,0,11,0,1,4,152
50531,4,1,11,0,1,3,123
50532,2,1,24,1,1,1,128
50533,7,0,14,1,1,3,125
50534,2,1,13,2,7,1,126
50535,2,0,14,1,1,2,149
50536,10,1,14,0,1,0,124
50537,5,0,21,1,1,0,148
50538,2,0,13,0,1,2,120
50539,2,0,19,1,1,0,127
50540,1,1,17,4,4,11,166
50541,2,1,18,1,1,2,133
50542,1,1,19,1,1,2,142
50543,5,1,13,0,1,0,128
50544,6,0,18,2,2,2,124
50545,8,1,21,1,2,2,124
50546,2,0,19,1,1,0,123
50547,2,0,14,1,1,0,120
50548,8,0,17,0,1,3,162
50549,4,1,11,0,1,2,128
50550,3,1,13,1,1,4,206
50551,4,0,15,3,5,2,123
50552,2,1,25,0,1,7,140
50553,5,0,11,0,1,7,174
50554,5,0,17,0,1,0,123
50555,2,0,13,1,1,0,169
50556,3,0,18,0,1,1,147
50557,2,0,13,3,,11,236
50558,7,0,20,1,1,2,123
50559,2,1,18,0,1,0,124
50560,3,0,12,1,1,0,197
50561,2,0,12,1,1,7,143
50562,3,1,13,1,2,17,147
50563,5,0,21,2,3,9,125
50564,2,1,13,0,1,0,121
50565,2,0,19,1,1,0,130
50566,1,1,11,0,8,5,159
50567,9,1,14,0,1,0,136
50568,2,0,12,6,6,3,167
50569,2,1,11,3,3,7,203
50570,1,0,14,0,1,4,169
50571,6,0,11,1,11,7,206
50572,2,0,12,1,1,8,144
50573,2,0,15,0,1,2,122
50574,2,0,16,1,1,0,146
50575,3,0,15,,7,8,271
50576,5,0,24,1,1,0,125
50577,7,0,13,2,,2,249
50578,6,0,11,4,7,7,173
50579,2,1,13,0,1,3,157
50580,7,0,13,0,1,8,178
50581,1,0,18,1,1,7,179
50582,5,1,16,1,,0,232
50583,2,1,19,0,2,7,151
50584,5,0,13,1,1,7,151
50585,1,1,22,1,1,2,123
50586,2,0,11,,6,0,274
50587,7,1,20,1,1,0,124
50588,4,0,18,1,1,2,135
50589,4,0,14,0,1,2,123
50590,10,0,22,,1,3,274
50591,2,1,13,0,1,2,155
50592,3,0,,1,1,11,294
50593,10,0,14,2,2,2,128
50594,2,1,15,1,1,8,136
50595,2,1,17,1,1,7,142
50596,5,1,11,0,1,1,121
50597,4,1,18,0,,5,240
50598,1,0,17,0,1,2,127
50599,7,0,13,0,1,7,208
50600,2,0,15,2,3,2,144
50601,2,1,24,1,1,2,137
50602,2,0,12,1,1,3,141
50603,2,0,15,1,1,0,111
50604,9,0,11,1,1,8,207
50605,2,1,11,2,10,1,204
50606,1,1,12,0,1,,214
50607,2,1,15,0,1,0,126
50608,1,0,17,0,1,2,124
50609,2,0,12,1,1,3,155
50610,2,0,15,1,1,1,125
50611,3,0,13,0,2,2,142
50612,8,0,14,1,4,,210
50613,7,0,14,1,2,1,150
50614,2,0,16,0,11,,227
50615,1,0,18,0,2,2,142
50616,2,0,20,1,1,2,139
50617,7,0,13,,1,0,283
50618,5,0,18,1,1,0,124
50619,4,1,13,0,,3,237
50620,6,0,15,1,1,0,148
50621,4,1,14,6,6,7,164
50622,2,0,,1,5,10,300
50623,9,1,12,1,1,0,169
50624,9,0,18,0,2,2,150
50625,2,0,,5,6,9,298
50626,4,1,18,1,,11,233
50627,1,0,12,1,1,13,163
50628,2,0,16,15,15,14,127
50629,2,1,13,1,2,8,209
50630,1,0,19,2,2,2,123
50631,4,0,13,,1,1,277
50632,10,0,12,5,7,7,140
50633,1,0,11,1,1,9,197
50634,4,1,14,0,1,,219
50635,2,0,16,0,1,4,122
50636,3,0,12,0,6,12,175
50637,8,0,14,0,1,0,148
50638,7,1,14,1,1,2,120
50639,2,1,19,0,1,0,122
50640,2,0,22,1,1,0,111
50641,4,0,16,2,2,2,128
50642,3,1,,7,7,7,292
50643,4,0,15,1,1,1,141
50644,2,0,14,5,7,5,184
50645,2,0,13,1,1,3,120
50646,10,0,,1,2,2,296
50647,7,0,11,6,7,0,207
50648,3,0,19,0,1,3,129
50649,1,0,11,5,7,8,189
50650,8,0,15,,6,2,268
50651,6,0,13,1,,0,234
50652,2,1,14,0,1,2,123
50653,2,0,13,1,1,0,114
50654,9,1,23,1,1,7,146
50655,10,1,12,1,2,7,125
50656,2,0,12,0,1,9,187
50657,2,0,16,0,1,3,140
50658,1,0,15,1,1,2,200
50659,2,0,13,1,1,8,134
50660,1,0,18,0,1,9,188
50661,5,0,20,4,11,1,203
50662,2,0,19,1,1,2,146
50663,4,0,18,1,1,,210
50664,4,0,13,1,1,7,137
50665,10,0,14,2,3,6,205
50666,5,0,15,0,1,2,171
50667,1,1,22,3,4,7,196
50668,2,0,22,3,3,8,145
50669,2,0,16,2,2,2,122
50670,1,0,17,1,1,4,178
50671,3,1,14,0,1,0,167
50672,2,1,15,5,5,6,137
50673,2,0,20,1,1,0,124
50674,5,1,20,0,2,2,123
50675,1,0,17,,13,7,277
50676,2,0,15,0,1,0,126
50677,4,1,14,0,1,0,147
50678,1,0,17,1,1,2,143
50679,4,0,17,1,1,0,130
50680,3,0,22,,2,1,269
50681,2,0,13,0,4,12,156
50682,8,0,19,3,4,0,204
50683,1,1,14,2,2,7,187
50684,5,0,22,0,1,7,125
50685,1,0,17,0,1,7,177
50686,4,0,12,,4,9,275
50687,8,0,16,1,1,0,174
50688,9,0,11,0,1,1,208
50689,8,0,11,7,11,,222
50690,2,0,,4,4,9,296
50691,2,1,11,0,2,2,121
50692,21,0,15,1,1,3,168
50693,3,0,20,1,1,9,178
50694,1,0,12,1,2,2,128
50695,1,0,17,0,1,4,132
50696,2,0,11,0,1,2,150
50697,7,0,17,1,2,,231
50698,3,0,11,1,1,2,140
50699,1,0,14,1,1,1,133
50700,5,0,19,1,1,0,143
50701,2,1,13,0,1,2,151
50702,2,0,13,1,5,0,128
50703,2,1,14,1,1,2,127
50704,2,0,12,0,1,0,119
50705,1,1,17,0,1,3,182
50706,4,1,11,1,1,0,148
50707,2,0,12,2,2,2,126
50708,8,0,13,0,1,3,157
50709,2,0,13,2,2,2,125
50710,2,0,20,1,1,3,157
50711,2,0,17,0,1,4,143
50712,2,0,13,0,3,10,173
50713,10,0,17,0,,13,235
50714,1,1,12,7,,14,238
50715,8,0,13,1,1,5,152
50716,7,0,12,1,1,7,123
50717,9,0,22,1,1,2,136
50718,2,1,11,1,1,0,125
50719,2,0,22,1,1,7,144
50720,2,0,18,1,1,4,166
50721,4,1,13,1,1,0,144
50722,3,0,18,6,6,4,203
50723,1,0,20,1,4,9,153
50724,2,0,13,2,2,2,124
50725,9,0,13,1,1,3,153
50726,2,0,12,0,1,0,128
50727,5,0,,0,4,2,299
50728,2,0,13,0,1,8,131
50729,2,0,25,0,1,0,126
50730,5,1,19,1,1,2,145
50731,2,0,13,3,3,11,165
50732,2,0,12,0,1,2,130
50733,2,1,11,1,1,2,129
50734,4,0,18,,4,7,286
50735,1,1,18,1,1,3,122
50736,1,1,11,0,1,0,129
50737,9,0,23,,15,9,270
50738,3,0,13,1,1,0,123
50739,2,0,13,0,1,4,136
50740,7,0,17,1,1,0,121
50741,9,0,19,1,1,3,141
50742,6,0,12,1,1,0,143
50743,3,0,22,,2,2,279
50744,2,0,12,1,3,3,132
50745,6,0,11,,1,3,291
50746,4,1,15,1,1,7,190
50747,2,0,13,0,1,0,122
50748,2,0,12,0,1,1,145
50749,2,0,14,0,1,7,127
50750,2,0,13,8,8,9,135
50751,2,0,25,1,1,17,145
50752,2,0,17,0,2,2,127
50753,3,0,11,1,1,4,174
50754,8,0,16,0,1,3,163
50755,1,1,18,0,1,9,152
50756,2,0,20,0,2,2,127
50757,5,1,14,1,1,7,150
50758,3,1,21,5,7,7,203
50759,1,0,13,1,4,10,128
50760,8,0,12,1,1,3,169
50761,1,0,14,0,1,1,150
50762,1,1,21,1,5,7,136
50763,4,1,17,0,,0,232
50764,5,1,11,2,4,12,204
50765,2,1,14,2,6,8,122
50766,8,0,17,1,1,4,205
50767,2,0,13,6,7,7,120
50768,2,1,25,1,1,0,119
50769,2,0,15,0,1,2,138
50770,4,0,14,,1,9,278
50771,2,1,12,0,1,1,168
50772,2,0,19,0,1,8,168
50773,6,0,17,0,1,5,152
50774,4,0,,1,1,7,297
50775,3,0,13,,1,0,287
50776,2,0,12,1,1,7,137
50777,6,0,11,0,1,0,126
50778,2,0,11,1,1,3,125
50779,2,1,11,0,1,0,166
50780,7,0,12,,1,0,283
50781,4,0,14,,1,7,261
50782,1,0,17,1,1,0,126
50783,8,0,11,,3,10,282
50784,1,1,14,1,1,8,184
50785,2,1,12,1,1,1,130
50786,2,0,22,0,1,1,112
50787,2,1,14,1,1,0,111
50788,2,1,20,0,2,2,129
50789,3,1,16,,1,11,288
50790,2,1,15,3,,0,236
50791,2,0,20,2,2,2,126
50792,3,0,14,,1,8,288
50793,1,1,12,1,1,2,145
50794,5,1,,2,11,10,298
50795,7,0,12,1,5,4,205
50796,5,0,13,3,5,10,144
50797,1,1,11,0,1,2,122
50798,2,0,14,,14,13,292
50799,5,0,11,0,1,8,145
50800,1,1,14,1,2,2,135
50801,7,1,16,0,1,0,124
50802,4,0,14,10,15,17,202
50803,10,1,11,4,5,12,154
50804,2,0,11,0,1,5,180
50805,2,1,12,2,2,2,139
50806,1,0,14,7,7,7,128
50807,8,1,18,1,1,7,147
50808,4,1,13,1,7,7,133
50809,3,0,11,0,1,2,121
50810,2,0,18,1,2,1,121
50811,2,0,15,0,1,8,162
50812,4,0,22,,1,0,281
50813,7,1,13,,15,2,271
50814,2,0,12,2,2,2,124
50815,2,0,18,1,1,1,149
50816,1,0,13,0,1,3,139
50817,1,0,12,5,6,7,146
50818,4,0,12,0,1,7,171
50819,7,0,12,3,5,7,134
50820,1,0,11,7,7,5,167
50821,5,1,11,,1,2,269
50822,3,1,12,0,1,0,191
50823,10,1,19,5,7,7,184
